codigovenda;data;hora;cliente;nome_cliente;idade_cliente;faixa_etaria_cliente;produto;nome_produto;secao_produto;qtde;preco;total
1;2021-01-01;08:01;4;Fatima;25.0;Adulto;8;Linguica;carnes;1;1.54;1.54
2;2021-01-02;08:02;4;Fatima;25.0;Adulto;9;Tomate;legumes;1;1.96;1.96
3;2021-01-03;08:03;4;Fatima;25.0;Adulto;1;Nabo;legumes;2;1.57;3.14
4;2021-01-04;08:04;6;Julio;18.0;Jovem;3;Carne 1A;carnes;2;1.29;2.58
6;2021-01-06;08:06;6;Julio;18.0;Jovem;9;Tomate;legumes;3;1.73;5.19
7;2021-01-07;08:07;6;Julio;18.0;Jovem;4;Cenoura;legumes;1;1.6;1.6
8;2021-01-08;08:08;8;Flavia;23.0;Jovem;9;Tomate;legumes;2;1.47;2.94
9;2021-01-09;08:09;1;Carlos;34.0;Adulto;2;Odd;limpeza;3;1.47;4.41
10;2021-01-10;08:10;4;Fatima;25.0;Adulto;5;Dorito;salgadinhos;3;1.65;4.95
11;2021-01-11;08:11;8;Flavia;23.0;Jovem;8;Linguica;carnes;2;1.92;3.84
13;2021-01-13;08:13;1;Carlos;34.0;Adulto;8;Linguica;carnes;3;1.65;4.95
14;2021-01-14;08:14;3;Maria;32.0;Adulto;8;Linguica;carnes;1;1.22;1.22
15;2021-01-15;08:15;10;Miriam;56.0;Idoso;5;Dorito;salgadinhos;3;1.88;5.64
16;2021-01-16;08:16;3;Maria;32.0;Adulto;4;Cenoura;legumes;2;1.85;3.7
17;2021-01-17;08:17;1;Carlos;34.0;Adulto;3;Carne 1A;carnes;2;1.34;2.68
19;2021-01-19;08:19;4;Fatima;25.0;Adulto;1;Nabo;legumes;2;1.78;3.56
20;2021-01-20;08:20;3;Maria;32.0;Adulto;5;Dorito;salgadinhos;1;1.37;1.37
24;2021-01-24;08:24;4;Fatima;25.0;Adulto;5;Dorito;salgadinhos;2;1.19;2.38
25;2021-01-25;08:25;10;Miriam;56.0;Idoso;9;Tomate;legumes;1;1.33;1.33
26;2021-01-26;08:26;3;Maria;32.0;Adulto;6;Algodao;gerais;1;1.01;1.01
28;2021-01-28;08:28;5;Raul;27.0;Adulto;4;Cenoura;legumes;1;1.55;1.55
29;2021-01-29;08:29;5;Raul;27.0;Adulto;7;Alface;verduras;1;1.21;1.21
30;2021-01-30;08:30;6;Julio;18.0;Jovem;6;Algodao;gerais;2;1.11;2.22
31;2021-01-31;08:31;5;Raul;27.0;Adulto;1;Nabo;legumes;1;1.99;1.99
